Title,Views,Favourites,Comments
Guidance,0,7,2
I like everything weird,0,5,0
In the kitchen,0,1,0
Wobble,0,2,2
Cuddly-wuddly,0,1,0
Cool special effects,0,0,0
Banana Cult,0,4,0
Satan,0,3,2
Snake,0,2,0
Kill myself,0,3,0
Wolf in sheep's clothing,0,0,0
Bomb,0,4,0
Vibe Filter,0,4,4
Nothing is true,0,3,0
Always keep your dreams alive,0,4,0
Crazy new shit,0,2,1
Enlightened people,0,4,9
Love hurts,0,1,0
Unlocked sanctuary,0,2,0
Everything on its right place,0,0,0
Holding back the flood,0,2,0
Cosmic explosion,0,0,0
Truth coming out of her well,0,1,0
No identity,0,5,2
A cosmic game,0,2,0
Fuck duality,0,0,0
The Zen master,0,5,0
Let go of limitations,0,5,0
Innocence,0,4,0
Awakening,0,3,0
Bothersome person,0,2,0
Too mainstream,0,5,0
Life and Maturity,0,2,5
I'm in your brain,0,4,0
I love my new pork bacon scarf,0,2,3
Tier im Bett,0,3,0
Pokemon Fusion,0,5,1
"Be guided by spirit, not driven by ego",0,3,12
Karma Bear,0,7,1
Respect everything,0,5,7
Seal of Approval,0,5,1
Tufted deer evolution,0,3,1
Quirky hyenas,0,3,1
Pets,0,1,1
Mud party,0,2,0
Much love,0,5,1
How people see me vs. reality,0,4,2
Mood swings are stressful,0,3,2
What I like to do during my time of solitude,0,3,1
Broccoloustache,0,1,3
Imagination,0,4,7
God complex,0,1,0
Shit,0,2,0
Eye of a mystic,0,2,0
I need more space,0,2,0
Looking outside and looking inside,0,3,0
Fate's strings,0,2,0
Different gateways leading to the same destination,0,2,3
Empathy,0,6,0
Harmony Harmony oh Love,0,4,2
Brainchild,0,1,0
My sense of humor,0,3,2
Futurist,0,3,5
Sunny day,0,2,3
Wings,0,2,3
Majestic creature,0,4,5
Abduction,0,2,7
Talking,0,1,3
Magical sparkles,0,5,0
I have never been anyone's type,0,2,4
Free your mind,0,2,2
Love has no demands,0,6,0
Stay wild,0,5,2
Being scary,0,5,5
RAWR!,0,3,2
Beware of my banana sword,0,4,8
"Love life, love death",0,5,2
Bullshit,0,1,3
Let's face it!,0,4,3
Who cares for pain when you can have fun,0,6,3
I pooped today,0,2,2
Stage,0,3,4
Carnivorous plant,0,2,1
Laugh at everything,0,2,2
Xtreme Hugging,0,2,2
Too many stripes,0,1,0
Weirdo rats,0,4,7
Lost comb,0,2,3
Adult stuff,0,4,2
If animals were people,0,2,6
Grumpy Kitty,0,5,6
Flachheit kombiniert mit Tiefsinn,0,3,6
Collective subconscious,0,4,0
Dimensions,0,1,19
Window to the beyond,0,3,0
The edge of eternity,0,3,0
Ich bin ein Frosch,0,4,4
BLAOEURURERUAEREAH,0,1,4
On my way,0,4,4
Chickens are weird,0,1,5
How to goat,0,3,2
Let's dance the I'm-not-in-the-mood-dance,0,2,3
Singularity,0,3,2
Enlightenment,0,2,5
Unconditioned mind,0,2,2
Fire of Weirdness,0,1,0
Little Cardboard Box,0,0,0
Hoffnungsschimmer,0,5,0
Machine,0,4,2
Withdrawal circle,0,2,2
Multidimensional canvas,0,5,0
Both the gateways to heaven and hell...,0,5,0
Fear construct,0,1,6
Tantrum,0,2,0
Shooting star,0,4,6
Glitch in the matrix,0,1,7
Wired to inspiration,0,5,6
I'm finally an adult,0,2,4
Playing with electricity,0,1,4
Stop killing unicorns,0,5,2
Put your mask off,0,1,2
Projection,0,5,0
Mind games,0,2,0
Life is growth,0,3,0
Meeting,0,7,1
Taste the rainbow,0,5,5
Holy Goat is watching U,0,3,2
Luminous,0,10,0
The friend ship,0,3,0
Schokoladenmuffin,0,1,0
Whoops!,0,3,2
I'm too lazy to use a paintbrush,0,4,6
Kaffeekraenzchen,0,1,5
Pandemonium,0,5,6
Creation,0,2,0
Duality,0,4,2
Disguise,0,8,3
Overlook,0,7,0
Scheiss Pollen,0,1,6
Irrational,0,0,7
Then and now,0,2,4
Someone stole my nose,0,4,6
Rainbow fun with Diana,0,3,2
Die Geisterwoelfe,0,1,0
YOLO,0,1,3
I can see forever,0,0,4
Der Gesellschaftsnormengriffel,0,0,3
Mein Lieblings-Opfer,0,1,5
Wall art,0,2,3
I'm crying smarties instead of tears,0,4,6
Dr. Evilmaru,0,3,8
Internet vs. no internet,0,8,7
I must draw,0,2,4
Hoaxing people is my passion,0,2,5
I don't even know what's happening,0,4,3
Proud to be a disaster,0,2,5
So much dissatisfaction,0,1,3
About food consumption,0,1,3
VNEP,0,2,4
The Weasel,0,15,6
Don't worry about me,0,3,7
Normal,0,3,5
Forces of evil,0,1,11
I love squishy things,0,2,11
Drachen machen Drachensachen,0,1,4
Love,0,4,14
Cure,0,5,3
Censorship,0,2,5
Stupiditaetshieb,0,1,6
Descent of a dork,0,0,8
Accident,0,0,3
Dream guy,0,2,2
We're all mad here,0,4,7
I have three eyes,0,1,5
Let go,0,1,6
Home,0,1,3
I poop rainbow glitter gel,0,1,8
Diagnosen,0,0,2
My visit at the madhouse,0,1,5
Art knows no boundaries,0,1,4
Fluff Spray,0,2,3
Nature,0,0,7
Look at all my creativity,0,1,6
My way of interaction,0,1,14
My messed up emotions,0,1,3
You suck,0,1,2
Test subject,0,2,8
Inappropriate fun,0,1,11
I am a walking disaster,0,2,9
Oopsies,0,1,15
Awkwardness,0,0,5
I have no idea what I'm doing,0,2,15
Fun,0,1,4
Do not interrupt me,0,0,4
Dubstep!,0,0,11
Here to ruin everything,0,1,5
What doesn't kill me only makes me weirder,0,0,14
How to creep out random people,0,1,6
Fool,0,3,12
Opposing pointless rules with pointless behavior,0,1,8
My creativity is inexhaustible,0,0,7
Ima firin mah lazor,0,1,2
Floophles,0,0,1
Quiet,0,1,1
Be a Froot Loop in a world full of Cheerios,0,3,12
Make it stop,0,3,8
Positivity shield,0,3,13
The universe,0,1,6
Mind explosion,0,3,8
Make believe,0,1,7
Rainbawk,0,2,5
The Rainbowyena,0,2,9
Werewolves,0,3,9
Pointless Advice Day,0,3,1
I do what I want,0,2,2
Walk,0,2,8
Travelling options,0,1,7
Shade-Nerv-Tag,0,1,5
Shitty days never bothered me anyways,0,1,3
Damn Feelings,0,1,1
Outburst of emotion,0,2,16
Why I love animals,0,3,4
What am I,0,0,3
Costume party,0,0,3
Marufashion,0,2,8
I turned into a T-Rex,0,1,3
Monster,0,1,1
Ninjamaru,0,1,3
Flow of life,0,2,3
Think outside the box,0,1,5
"Light, love, truth",0,2,4
Weirdo therapy,0,1,7
Unicone,0,0,4
Weirdness,0,0,3
Dreamer,0,2,2
Ecstasy,0,1,2
"Lose your mind, find your soul",0,3,3
Shaman,0,3,5
Entering the dream state,0,5,3
Reflections,0,2,5
Kindred spirit,0,2,2
I has a neutral,0,2,0
I has a happy,0,2,2
Blehrp blehrp blehrp I am stoopid hooman,0,1,9
Was ich gut kann,0,1,7
Weirdobrigade,0,1,2
Common facial expressions,0,1,3
Your choice,0,0,11
Oneness,0,3,4
Ram in the clouds,0,1,0
Schmeiss dein Ego weg und feier was du liebst,0,2,10
Maehschugge,0,1,0
Brokkoli,0,1,4
RidiculouslyOddRandomStyle,0,2,2
New unknown species,0,4,1
Here kitty kitty,0,2,5
Umgang mit Personen - Animarustyle,0,1,0
Miesepetrimaru,0,1,0
Hair Styling Day,0,2,0
Ach du scheisse!,0,2,0
Du bist cool,0,1,3
Society logic,0,0,3
Freedom is a state of mind,0,0,2
Public places,0,1,11
Stay random,0,1,6
Noe ich mal dich nicht,0,0,2
I failed everything,0,1,3
Irrational self,0,1,6
My life is a comedy act,0,1,4
Pfuetzen,0,2,1
Melodic voice,0,1,3
Insert yourself here,0,1,3
Annoyimaru,0,0,1
My intimate life,0,2,1
Why I don't have lots of friends,0,0,0
Nothing to see here!,0,1,1
Fly,0,0,10
One of those people,0,3,1
NOPE,0,2,0
Me  and me,0,1,2
Ohmygod,0,1,5
Cutie,0,1,2
Saint Maru,0,1,1
My purpose,0,0,1
Unsinn,0,0,0
Based on a real experience,0,1,2
Wenn du mal Probleme brauchst...,0,1,0
Jelly beans,0,2,6
I like brownies,0,1,5
Laugh and cry,0,2,0
Idol,0,3,1
Be yourself,0,5,1
I'm blue,0,2,0
Eccentric,0,3,1
The Revenge of Animaru,0,3,0
Weird fennecs,0,0,0
The Grim Reaper,0,1,5
This is NOMderful,0,1,0
Fox with goggles,0,3,2
Compassion,0,3,0
You are awesome,0,2,1
My creativity,0,1,0
Unshackle the chains,0,2,2
Randomdoodles,0,1,4
Rentnerblockade,0,2,0
Mew,0,0,1
Black lightning,0,0,0
Create yourself,0,1,1
I am a worm,0,1,0
Hive mind,0,3,0
My self esteem,0,4,3
Stitch,0,5,1
Evolve,0,0,2
Seduce me,0,1,0
Cone of shame,0,0,0
Iz raep tiem,0,2,3
Goatastic,0,0,0
OMG wat is dis,0,0,2
Oktomaru,0,0,2
Down the rabbit hole,0,4,1
Unlearning,0,1,0
Unicorn,0,1,0
Life is a joke and I am its walking punchline #50,0,2,0
Wind,0,1,0
I has a sad,0,4,0
Flames,0,1,3
Healing the soul,0,7,2
Why can't I just be normal?,0,3,1
Striped hyena guy,0,1,1
YOU ARE LOVED,0,2,4
Smooches!,0,1,0
Flower glasses,0,4,2
What the hell,0,3,6
Indecent,0,2,0
Wake me up please ,0,0,0
Endangered species,0,1,2
Life is a joke and I am its walking punchline #49,0,3,0
Life is a joke and I am its walking punchline #48,0,3,0
Life is a joke and I am its walking punchline #47,0,2,0
Life is a joke and I am its walking punchline #46,0,3,0
Life is a joke and I am its walking punchline #45,0,1,0
Life is a joke and I am its walking punchline #44,0,2,0
Life is a joke and I am its walking punchline #43,0,2,0
Life is a joke and I am its walking punchline #42,0,4,0
Derpiana,0,2,5
Primal state,0,2,1
HI,0,2,4
Those who don't believe in magic...,0,5,5
Mandy,0,2,3
Moar dumb faces,0,0,6
Totally normal everyday situation,0,2,0
"Think less, feel more",0,1,2
Handsome werewolf,0,1,6
Social behavior,0,2,2
Patrimaru Star,0,1,7
There is more to life than what we've been told,0,1,0
I'll fly with you,0,1,6
Tropical paradise,0,3,1
Blu hair,0,1,6
Womb,0,0,0
Loving life,0,4,2
Prismatic fur dragon,0,2,0
It's so dark,0,2,0
Frosty howl,0,1,0
I present you...,0,0,4
Shame,0,2,0
I recognize myself in your eyes,0,1,0
Huh?,0,2,2
GAYYY,0,1,2
Wolferpillar,0,2,5
Dissociative identity disorder,0,2,2
Escapism,0,1,6
Overly attached,0,3,5
Fluff fanatics,0,2,4
My face when somebody tells me that they like me,0,2,10
Animaru REFERENCE SHEET,0,5,8
RAYAMARU,0,2,6
Another Brick in the Wall,0,3,1
Not enough,0,3,0
I drew us a doorway to get us away from here,0,0,2
Vines,0,1,0
Life is a joke and I am its walking punchline #41,0,1,0
Life is a joke and I am its walking punchline #40,0,0,0
Life is a joke and I am its walking punchline #39,0,3,0
Life is a joke and I am its walking punchline #38,0,2,0
Life is a joke and I am its walking punchline #37,0,1,0
Life is a joke and I am its walking punchline #36,0,2,0
Allround dog,0,2,4
Ears to fly,0,5,3
Life is a joke and I am its walking punchline #35,0,2,0
Life is a joke and I am its walking punchline #34,0,2,0
Life is a joke and I am its walking punchline #33,0,2,0
Life is a joke and I am its walking punchline #32,0,2,0
Life is a joke and I am its walking punchline #31,0,3,0
Life is a joke and I am its walking punchline #30,0,1,0
Diana in love,0,3,3
Life is a joke and I am its walking punchline #29,0,1,0
Life is a joke and I am its walking punchline #28,0,1,0
Life is a joke and I am its walking punchline #27,0,3,0
Life is a joke and I am its walking punchline #26,0,0,0
Life is a joke and I am its walking punchline #25,0,0,0
Life is a joke and I am its walking punchline #24,0,2,0
Life is a joke and I am its walking punchline #23,0,1,0
Life is a joke and I am its walking punchline #22,0,2,0
Life is a joke and I am its walking punchline #21,0,0,0
FOODZ,0,1,0
Life is a joke and I am its walking punchline #20,0,1,0
Life is a joke and I am its walking punchline #19,0,1,0
Life is a joke and I am its walking punchline #18,0,1,0
Life is a joke and I am its walking punchline #17,0,1,0
Life is a joke and I am its walking punchline #16,0,1,0
Life is a joke and I am its walking punchline #15,0,3,0
Life is a joke and I am its walking punchline #14,0,2,0
Life is a joke and I am its walking punchline #13,0,1,0
Life is a joke and I am its walking punchline #12,0,2,0
Life is a joke and I am its walking punchline #11,0,2,0
Life is a joke and I am its walking punchline #10,0,2,0
Life is a joke and I am its walking punchline #9,0,2,0
Life is a joke and I am its walking punchline #8,0,3,0
Life is a joke and I am its walking punchline #7,0,2,0
Life is a joke and I am its walking punchline #6,0,7,0
Life is a joke and I am its walking punchline #5,0,1,0
Life is a joke and I am its walking punchline #4,0,2,0
Life is a joke and I am its walking punchline #3,0,2,0
Life is a joke and I am its walking punchline #2,0,4,0
Life is a joke and I am its walking punchline #1,0,2,0
Baby goat therapy,0,1,3
Vulnerability,0,2,5
Ori,0,20,9
Dance,0,4,3
Maned wolf,0,0,0
The strings that bind us,0,2,0
Stuck wolf,0,5,6
